index,charttype,sysSet,userSet,AbsoluteDiff,Error
0,Bar,84,87,3,1.64385619
1,Bar,94,97,3,1.64385619
2,Radial,64,61,3,1.64385619
3,Pie,88,97,9,3.189824559
4,Radial,81,85,4,2.044394119
5,Pie,16,17,1,0.169925001
0,Pie,70,69,1,0.169925001
1,Radial,75,61,14,3.820178962
2,Pie,24,29,5,2.357552005
3,Radial,74,82,8,3.022367813
4,Bar,16,18,2,1.087462841
5,Bar,78,78,0,-3
0,Radial,63,57,6,2.614709844
1,Pie,44,41,3,1.64385619
2,Bar,59,60,1,0.169925001
3,Radial,53,31,22,4.46760555
4,Bar,23,22,1,0.169925001
5,Pie,59,72,13,3.714245518
0,Pie,42,36,6,2.614709844
1,Radial,80,84,4,2.044394119
2,Bar,13,16,3,1.64385619
3,Bar,22,19,3,1.64385619
4,Pie,24,21,3,1.64385619
5,Radial,48,42,6,2.614709844
0,Radial,97,95,2,1.087462841
1,Pie,46,50,4,2.044394119
2,Bar,13,10,3,1.64385619
3,Radial,99,97,2,1.087462841
4,Bar,65,75,10,3.339850003
5,Pie,64,68,4,2.044394119
0,Pie,95,94,1,0.169925001
1,Radial,45,44,1,0.169925001
2,Pie,18,20,2,1.087462841
3,Radial,42,40,2,1.087462841
4,Bar,43,40,3,1.64385619
5,Bar,45,50,5,2.357552005
0,Pie,62,81,19,4.257387843
1,Radial,40,40,0,-3
2,Pie,58,74,16,4.011227255
3,Radial,32,30,2,1.087462841
4,Bar,34,34,0,-3
5,Bar,44,40,4,2.044394119
0,Pie,37,32,5,2.357552005
1,Radial,73,86,13,3.714245518
2,Bar,52,50,2,1.087462841
3,Bar,23,23,0,-3
4,Pie,58,61,3,1.64385619
5,Radial,68,68,0,-3
0,Radial,49,38,11,3.475733431
1,Pie,21,18,3,1.64385619
2,Bar,74,82,8,3.022367813
3,Radial,83,71,12,3.599912842
4,Bar,25,32,7,2.832890014
5,Pie,74,84,10,3.339850003
0,Radial,79,85,6,2.614709844
1,Pie,39,33,6,2.614709844
2,Radial,76,67,9,3.189824559
3,Bar,46,43,3,1.64385619
4,Pie,18,19,1,0.169925001
5,Bar,77,82,5,2.357552005
